dato,kl,km,kmh,kwp100,kw,eco,DCFC,Target,Country,Geo,Celsius,mm,hoh,hdif
04/12/23,1328,211,97.8,24.2,51,211,x,eichenzell,DE,E,0,1,,,
04/12/23,1558,205,118.2,23.2,47.9,205.4,x,sessen,DE,E,-1,1,,,
04/12/23,1910,239,115,22.6,54.1,23.9,x,todendorf,DE,E,-2,1,,,
04/12/23,2039,35,66.2,20.6,7.3,35.3,,lubeck,DE,E,-2,1,,,
05/12/23,1057,96,62.6,22.5,21.6,95.8,,fehmarn,DE,E,-1,1,,,
05/12/23,1244,65,98.9,31.4,20.5,99.5,x,vordingborg,DK,S,2,,,,
05/12/23,1353,75,111.4,24.3,18.1,74.6,x,mosede,DK,S,2,,,,
05/12/23,1713,271,106.8,23.2,62.8,55.5,x,varberg,SE,V,1,,,,
05/12/23,1843,53,88.1,23.5,12.3,52.6,,lindome,SE,V,-3,,,,
05/12/23,2139,221,77.3,21.6,47.7,5.5,x,strømstad,SE,V,-5,,,,
05/12/23,2253,73,84.2,26,19.1,73.2,x,rygge,NO,S,-9,,,,
06/12/23,50,78,71.6,20.6,16,77.9,x,hjemme,NO,S,-10,,,,
